loan_id,reporting_date,date_of_birth,age_years,age_band,duration,total_income,avg_monthly_income,avg_monthly_income_band,payment_due_date,days_past_due,risk_category,date,customer_age,total_paid,total_due_today,balance,closing_balance,advance,balance_due_to_date,arrears,balance_due_status,payment,expected_payment,first_payment,first_expected_payment,account_status_l1,account_status_l2,return_date,sale_date,credit_check_done,payment_amount,adjustment_amount,prepayment_amount,deposit,weekly_rate,credit_expiry,next_invoice_date,discount,overpayment_amount,max_payment_date,initial_pay,total_paid_with_adjustments_15d,snapshot_date_from_credit_file,source_file,unnamed_28,credit_snapshot_date,createdat_utc,received,persons_received_from_total,banks_received,paybills_received_others,income_record_count
rectlGWlWrxaY8jT5,2025-01-01,,,,,,,,2025-01-01,0,Medium,1/1/2025,36,11269,13439.0,52310.0,0.0,0.0,-2170.0,2170.0,Arrears,0,0.0,0,0,Existing Active,Active,,11/26/2024,Y LOAN,,,0,6899.0,1090.0,12/24/2024,1/7/2025,0.0,0.0,3/17/2025,7989,11269,2025-01-01,Credit Data - 01-01-2025.csv,,2025-01-01,,,,,,
recoBb6bvHrh9Oh5j,2025-01-01,,,,11.0,6531748.18,593795.2890909091,"150,000+",2024-12-13,19,High,1/1/2025,19,16589,19769.0,85990.0,85990.0,0.0,-19769.0,19769.0,Arrears,0,0.0,0,0,First 2 days Return,Return,12/16/2024,12/13/2024,Y LOAN,,,0,14699.0,1690.0,12/13/2024,1/3/2025,0.0,0.0,12/15/2024,16389,0,2025-01-01,Credit Data - 01-01-2025.csv,,2025-01-01,,3045149.18,2758834.0,679495.0,48270.0,1.0
recyLoJaBBG48fwvX,2025-01-01,,,,,,,,2024-04-09,267,Critical,1/1/2025,288,9459,44639.0,44380.0,44380.0,0.0,-35180.0,35180.0,Arrears,0,0.0,0,0,Cancelled Returned in 3 mths,Return,5/2/2024,3/19/2024,Y LOAN,,,0,5999.0,920.0,4/9/2024,1/7/2025,0.0,0.0,4/12/2024,6919,9459,2025-01-01,Credit Data - 01-01-2025.csv,,2025-01-01,,,,,,
rec1bHOdtsot18EXQ,2025-01-01,,,,,,,,,0,Low,1/1/2025,440,43479,43479.0,0.0,0.0,0.0,0.0,0.0,up to date,0,0.0,0,0,Paid Off Loan,Paid Off,,10/19/2023,Y LOAN,,,0,4999.0,740.0,10/17/2024,1/2/2025,0.0,0.0,7/30/2024,5739,43479,2025-01-01,Credit Data - 01-01-2025.csv,,2025-01-01,,,,,,
recmxyVLbCaSxqZA7,2025-01-01,,,,,,,,,0,Low,1/1/2025,126,29919,30019.0,38940.0,0.0,0.0,0.0,0.0,up to date,1180,1180.0,0,0,Existing Active,Active,,8/28/2024,Y LOAN,1180.0,0.0,0,7599.0,1180.0,1/8/2025,1/8/2025,0.0,0.0,8/7/2025,8779,30019,2025-01-01,Credit Data - 01-01-2025.csv,,2025-01-01,,,,,,
recbzR5i5H8YBWUct,2025-01-01,,,,,,,,,0,Low,1/1/2025,116,27659,27659.0,41300.0,0.0,0.0,0.0,0.0,up to date,0,0.0,0,0,Existing Active,Active,,9/7/2024,Y LOAN,,,0,7599.0,1180.0,1/4/2025,1/4/2025,0.0,0.0,8/30/2025,8779,27659,2025-01-01,Credit Data - 01-01-2025.csv,,2025-01-01,,,,,,
recyr0hqOi0Xj0nnv,2025-01-01,1999-04-27 21:00:00+00:00,25.7,26-35,12.0,255070.23,21255.8525,"20,000-29,999",2024-12-19,13,Critical,1/1/2025,20,8889,11269.0,60690.0,60690.0,0.0,-2380.0,2380.0,Arrears,0,0.0,0,0,First Payment Default,FPD,,12/12/2024,Y LOAN,,,0,7699.0,1190.0,12/19/2024,1/2/2025,0.0,0.0,12/12/2024,8889,8889,2025-01-01,Credit Data - 01-01-2025.csv,,2025-01-01,2024-12-11 08:25:21.919000+00:00,136358.23,118712.0,0.0,0.0,1.0
recVUqPWHQzz3HeTH,2025-01-01,,,,,,,,2024-11-19,43,Critical,1/1/2025,57,10539,18029.0,57800.0,57800.0,0.0,-7490.0,7490.0,Arrears,0,0.0,0,0,First Month Default without inventory over 30,FMD,,11/5/2024,Y LOAN,,,0,7499.0,1170.0,11/19/2024,1/7/2025,0.0,0.0,4/13/2025,8669,10539,2025-01-01,Credit Data - 01-01-2025.csv,,2025-01-01,,,,,,
reczHRbFBEscmmKyB,2025-01-01,,,,,,,,2024-12-15,17,Medium,1/1/2025,122,54399,62019.0,93980.0,93980.0,0.0,-7620.0,7620.0,Arrears,0,0.0,0,0,Inactive 15-30,PAR 7,,9/1/2024,Y LOAN,,,0,16299.0,2540.0,12/15/2024,1/5/2025,0.0,0.0,12/8/2024,18839,54399,2025-01-01,Credit Data - 01-01-2025.csv,,2025-01-01,,,,,,
recfXEtVAexBqiUFn,2025-01-01,,,,,,,,2025-01-01,0,Medium,1/1/2025,303,38439,39319.0,7120.0,0.0,0.0,-880.0,880.0,Arrears,0,0.0,0,0,Existing Active,Active,,3/4/2024,Y LOAN,,,0,4999.0,780.0,12/23/2024,1/6/2025,0.0,0.0,3/6/2025,5779,38439,2025-01-01,Credit Data - 01-01-2025.csv,,2025-01-01,,,,,,
