nps_group,responses,delinquency_rate,avg_days_past_due,payment_delay_rate,phone_lock_rate,support_difficulty_rate
Detractor,1469,0.2838665759019741,41.7338,0.4068627450980392,0.3805436337625179,0.5315068493150685
Passive,811,0.187422934648582,15.6745,0.28994082840236685,0.26558891454965355,0.22769953051643194
Promoter,1705,0.2058651026392962,17.4968,0.23106423777564716,0.2026726057906459,0.14626218851570963
